@relation 'TimeRaptors4CSC523.py F20172018_Date_WS_Temp_Vis_Total_Num_Rnd.arff F20172018_Deltas_WS_Temp_Vis_Total_Num.arff'
% ARFF file generated @ 2020-11-08 18:16:32.160156
@attribute datetime string
@attribute WindSpdKmh numeric
@attribute Temp numeric
@attribute Visibility numeric
@attribute TOTAL numeric
@data
'2017-11-27 07:45:00',8.5,1,20,0
'2018-10-06 07:00:00',0,15,?,0
'2017-11-20 14:00:00',3,4,40,8
'2017-09-27 16:00:00',3,24,77,3
'2017-11-01 14:00:00',8.5,3,0.5,0
'2017-11-13 12:00:00',55.5,3,1,0
'2017-12-01 15:00:00',3,5,77,0
'2017-08-26 11:00:00',8.5,23,70,4
'2017-11-21 10:00:00',0,6,12,2
'2018-08-29 08:00:00',3,29,7,1
'2018-12-08 14:00:00',3,-2,33,1
'2018-10-20 16:00:00',3,10,20,4
'2017-12-13 07:30:00',24,-9,51,0
'2018-10-15 09:00:00',8.5,12,?,0
'2018-10-30 08:00:00',8.5,3,10,20
'2017-10-17 08:00:00',3,5,70,10
'2017-09-17 13:00:00',3,25,25,533
'2017-09-09 13:00:00',0,0,0,1
'2017-11-23 12:00:00',8.5,1,30,3
'2018-10-14 16:00:00',3,9,25,0
'2017-08-18 13:00:00',8.5,27,5,1
'2018-09-26 11:00:00',3,24,12,3
'2017-10-28 11:00:00',8.5,13.4,42,15
'2017-11-26 09:00:00',15.5,5,77,1
'2017-10-04 12:00:00',3,20,9,2
'2018-11-18 11:00:00',3,1,33,1
'2017-10-08 15:00:00',3,23,33,0
'2017-10-13 12:00:00',8.5,15,5,6
'2017-10-16 13:00:00',3,11,51,21
'2018-10-18 17:00:00',0,0,0,0
'2017-11-23 09:00:00',8.5,0,?,4
'2018-11-29 15:00:00',8.5,1,33,7
'2018-09-08 13:00:00',15.5,18,100,13
'2017-12-11 08:00:00',3,-1,10,0
'2017-10-09 14:00:00',3,23,12,1
'2017-08-30 08:00:00',3,20,5,0
'2018-11-03 12:00:00',15.5,9,30,27
'2018-10-26 14:00:00',3,7,50,26
'2018-09-03 09:00:00',0,27,8,0
'2018-10-20 08:00:00',8.5,10,1,2
'2017-12-03 09:00:00',8.5,2,1,0
'2017-09-02 06:00:00',8.5,10,51,0
'2018-10-17 10:00:00',15.5,45,70,50
'2017-10-19 07:00:00',8.5,10,45,0
'2018-10-19 15:00:00',8.5,12,77,1
'2018-11-09 12:00:00',15.5,3,2,0
'2017-09-01 09:00:00',15.5,12,33,12
'2018-10-09 06:00:00',3,20,?,0
'2017-11-18 08:00:00',?,0,?,0
'2018-10-07 13:00:00',8.5,28,33,26
'2017-09-04 13:00:00',3,26,10,3
'2017-10-11 13:00:00',8.5,20,5,10
'2018-12-11 10:00:00',0,-4,7,0
'2017-10-31 12:00:00',3,10,77,3
'2017-09-30 09:00:00',15.5,12,50,19
'2018-09-20 07:00:00',3,18,30,3
'2017-10-14 10:00:00',3,15.3,3,1
